序号,代码,名称,研报数,机构投资评级(近六个月)-买入,机构投资评级(近六个月)-增持,机构投资评级(近六个月)-中性,机构投资评级(近六个月)-减持,机构投资评级(近六个月)-卖出,2024预测每股收益,2025预测每股收益,2026预测每股收益,2027预测每股收益
195,002352,顺丰控股,20,15.0,5.0,0.0,0.0,0.0,2.018169946714,2.3523,2.7559,3.162105263158
196,600988,赤峰黄金,20,12.0,8.0,0.0,0.0,0.0,0.928398901993,1.549,1.844,2.107894736842
197,600612,老凤祥,20,14.0,6.0,0.0,0.0,0.0,3.727271033373,3.1555,3.4805,3.820526315789
198,300285,国瓷材料,20,13.0,7.0,0.0,0.0,0.0,0.606604081574,0.74005,0.88715,1.057526315789
199,601728,中国电信,20,14.0,6.0,0.0,0.0,0.0,0.360759503327,0.382105263158,0.406315789474,0.43
200,002001,新和成,20,12.0,8.0,0.0,0.0,0.0,1.909450312923,2.12435,2.30655,2.543210526316
201,603338,浙江鼎力,20,13.0,7.0,0.0,0.0,0.0,3.216770962341,4.0135,4.6755,5.4
202,002959,小熊电器,20,10.0,10.0,0.0,0.0,0.0,1.831877080398,2.593,2.9715,3.332631578947
203,300476,胜宏科技,20,16.0,4.0,0.0,0.0,0.0,1.326399734689,6.0245,9.0945,12.383684210526
204,300054,鼎龙股份,20,15.0,5.0,0.0,0.0,0.0,0.550028801213,0.74645,0.97365,1.217894736842
205,601888,中国中免,20,13.0,6.0,1.0,0.0,0.0,2.062543451201,2.155,2.4735,2.7905
206,688617,惠泰医疗,20,12.0,7.0,1.0,0.0,0.0,4.773658551607,6.9152,9.0069,11.680894736842
207,002920,德赛西威,20,15.0,5.0,0.0,0.0,0.0,3.359135499861,4.875,6.1535,7.647894736842
208,002966,苏州银行,20,16.0,4.0,0.0,0.0,0.0,1.133659262662,1.216842105263,1.297368421053,1.39
209,000001,平安银行,20,10.0,9.0,1.0,0.0,0.0,2.293527136716,2.198,2.2465,2.332105263158
210,301162,国能日新,20,15.0,5.0,0.0,0.0,0.0,0.705881660029,1.0008,1.32345,1.705210526316
211,600585,海螺水泥,20,11.0,9.0,0.0,0.0,0.0,1.45228883127,1.8065,2.0055,2.167894736842
212,601966,玲珑轮胎,20,14.0,6.0,0.0,0.0,0.0,1.197368242884,1.2625,1.541,1.827368421053
213,600941,中国移动,20,15.0,5.0,0.0,0.0,0.0,6.398266037564,6.7469,7.08345,7.438105263158
214,600522,中天科技,20,16.0,4.0,0.0,0.0,0.0,0.83151491737,1.062105263158,1.259473684211,1.456666666667
215,002558,巨人网络,20,17.0,3.0,0.0,0.0,0.0,0.73647823691,1.1215,1.554,1.762105263158
216,688475,萤石网络,20,14.0,6.0,0.0,0.0,0.0,0.639908229905,0.7945,0.9705,1.190526315789
217,600801,华新水泥,20,11.0,9.0,0.0,0.0,0.0,1.162234508842,1.30915,1.52125,1.673631578947
218,600559,老白干酒,20,14.0,6.0,0.0,0.0,0.0,0.86045443247,0.912,0.9975,1.103157894737
219,300442,润泽科技,20,17.0,3.0,0.0,0.0,0.0,1.09544663915,1.5205,1.9525,2.404
220,002507,涪陵榨菜,20,13.0,7.0,0.0,0.0,0.0,0.692723347769,0.7185,0.773,0.829473684211
221,002032,苏泊尔,20,15.0,4.0,1.0,0.0,0.0,2.800795244537,2.88175,3.0724,3.262578947368
222,688696,极米科技,20,11.0,9.0,0.0,0.0,0.0,1.716327079429,4.441904761905,6.022380952381,7.387619047619
223,002230,科大讯飞,20,12.0,8.0,0.0,0.0,0.0,0.242317109015,0.38755,0.53455,0.713684210526
