序号,股票代码,股票简称,最新价,涨跌幅,换手率,流入资金,流出资金,净额,成交额
3851,301248,杰创智能,26.81,-1.03%,6.23%,7530.00万,9490.97万,-1960.97万,1.70亿
3852,301032,新柴股份,13.46,-1.03%,2.98%,2498.81万,3917.13万,-1418.32万,6415.94万
3853,688276,百克生物,24.08,-1.03%,1.02%,4226.53万,6037.45万,-1810.92万,1.03亿
3854,761,本钢板材,3.85,-1.03%,0.30%,1717.34万,2525.26万,-807.93万,4242.60万
3855,603332,苏州龙杰,14.46,-1.03%,1.99%,2475.52万,3755.61万,-1280.09万,6231.13万
3856,603085,天成自控,11.49,-1.03%,1.69%,3242.40万,4481.78万,-1239.38万,7724.18万
3857,600771,广誉远,21.2,-1.03%,1.58%,7263.14万,9276.40万,-2013.26万,1.65亿
3858,300410,正业科技,8.68,-1.03%,10.67%,1.38亿,1.98亿,-5977.01万,3.36亿
3859,2864,盘龙药业,30.64,-1.03%,4.99%,4142.03万,7201.08万,-3059.05万,1.13亿
3860,2690,美亚光电,17.38,-1.03%,1.26%,4451.34万,5053.82万,-602.48万,9505.15万
3861,2009,天奇股份,17.23,-1.03%,6.10%,1.53亿,2.20亿,-6765.77万,3.73亿
3862,892,欢瑞世纪,4.79,-1.03%,4.59%,6660.58万,8960.86万,-2300.29万,1.56亿
3863,738,航发控制,21.13,-1.03%,1.03%,1.19亿,1.66亿,-4794.14万,2.85亿
3864,301320,豪江智能,22.74,-1.04%,10.54%,6956.13万,9159.83万,-2203.70万,1.61亿
3865,603130,云中马,41.9,-1.04%,16.52%,1.65亿,1.89亿,-2388.85万,3.54亿
3866,688213,思特威,96.48,-1.04%,2.00%,2.32亿,3.94亿,-1.62亿,6.26亿
3867,688485,九州一轨,13.34,-1.04%,10.24%,6254.91万,5985.94万,268.97万,1.22亿
3868,301365,矩阵股份,19.1,-1.04%,7.68%,2956.96万,3860.78万,-903.81万,6817.74万
3869,301330,熵基科技,29.43,-1.04%,10.50%,1.28亿,1.58亿,-2990.02万,2.86亿
3870,301072,中捷精工,26.74,-1.04%,3.44%,2724.16万,3439.30万,-715.14万,6163.45万
3871,301296,新巨丰,9.54,-1.04%,1.17%,1020.77万,2013.50万,-992.73万,3034.26万
3872,688633,星球石墨,28.55,-1.04%,1.65%,3228.94万,3608.38万,-379.44万,6837.33万
3873,603366,日出东方,9.56,-1.04%,1.28%,3518.04万,6454.23万,-2936.19万,9972.28万
3874,603477,巨星农牧,20.98,-1.04%,3.82%,1.71亿,2.41亿,-7070.09万,4.12亿
3875,300935,盈建科,27.58,-1.04%,2.54%,2005.23万,2221.15万,-215.93万,4226.38万
3876,600668,尖峰集团,12.34,-1.04%,2.41%,3416.23万,8912.37万,-5496.14万,1.23亿
3877,600215,派斯林,7.59,-1.04%,1.99%,2676.66万,4240.10万,-1563.44万,6916.76万
3878,600195,中牧股份,7.61,-1.04%,0.85%,2639.41万,4034.93万,-1395.52万,6674.35万
3879,300771,智莱科技,13.38,-1.04%,5.45%,5535.94万,7725.35万,-2189.41万,1.33亿
3880,300123,亚光科技,6.66,-1.04%,4.53%,1.34亿,1.70亿,-3551.74万,3.04亿
3881,2825,纳尔股份,10.42,-1.04%,2.20%,2379.72万,3493.18万,-1113.46万,5872.89万
3882,2741,光华科技,20.02,-1.04%,5.06%,1.79亿,2.51亿,-7185.81万,4.30亿
3883,2329,皇氏集团,3.81,-1.04%,3.06%,2855.68万,4755.38万,-1899.70万,7611.07万
3884,811,冰轮环境,13.26,-1.04%,3.79%,2.28亿,2.63亿,-3498.48万,4.90亿
3885,2486,嘉麟杰,2.84,-1.05%,2.27%,2529.31万,2775.23万,-245.92万,5304.53万
3886,300234,开尔新材,5.63,-1.05%,2.91%,2621.36万,3033.35万,-411.98万,5654.71万
3887,301118,恒光股份,24.43,-1.05%,3.54%,4018.41万,5096.65万,-1078.24万,9115.06万
3888,600399,抚顺特钢,5.63,-1.05%,2.08%,8128.90万,1.49亿,-6791.66万,2.30亿
3889,688277,天智航,18.82,-1.05%,2.43%,9893.90万,1.08亿,-949.56万,2.07亿
3890,605168,三人行,32.96,-1.05%,1.73%,5312.34万,6741.85万,-1429.51万,1.21亿
3891,600250,南京商旅,11.35,-1.05%,3.08%,3808.81万,7083.12万,-3274.31万,1.09亿
3892,301535,浙江华远,20.68,-1.05%,8.67%,4463.36万,6312.25万,-1848.88万,1.08亿
3893,601700,风范股份,4.71,-1.05%,0.81%,1452.61万,2925.57万,-1472.96万,4378.19万
3894,600152,维科技术,6.61,-1.05%,2.88%,3496.53万,6552.15万,-3055.62万,1.00亿
3895,300133,华策影视,7.56,-1.05%,2.38%,1.11亿,1.82亿,-7097.91万,2.93亿
3896,2626,金达威,18.8,-1.05%,1.52%,6823.22万,1.07亿,-3831.69万,1.75亿
3897,300258,精锻科技,14.19,-1.05%,3.23%,1.09亿,1.53亿,-4448.72万,2.62亿
3898,300227,光韵达,9.37,-1.06%,3.79%,5944.21万,8754.24万,-2810.03万,1.47亿
3899,301156,美农生物,19.57,-1.06%,3.87%,2372.67万,3296.74万,-924.07万,5669.40万
3900,603048,浙江黎明,19.57,-1.06%,1.80%,2102.93万,3090.58万,-987.65万,5193.51万
3901,688201,信安世纪,12.08,-1.06%,2.48%,3684.52万,5333.11万,-1648.58万,9017.63万
3902,301162,国能日新,51.5,-1.06%,1.31%,2162.92万,3584.03万,-1421.11万,5746.94万
3903,1914,招商积余,13.03,-1.06%,0.87%,5504.70万,6605.31万,-1100.60万,1.21亿
3904,300861,美畅股份,15.0,-1.06%,1.18%,2417.03万,5021.85万,-2604.82万,7438.88万
3905,300617,安靠智电,34.4,-1.06%,2.70%,5202.48万,7858.70万,-2656.22万,1.31亿
3906,603007,*ST花王,4.66,-1.06%,1.88%,1637.41万,2757.16万,-1119.75万,4394.57万
3907,603599,广信股份,12.14,-1.06%,1.20%,5487.75万,7739.62万,-2251.87万,1.32亿
3908,603517,绝味食品,15.81,-1.06%,1.60%,5118.75万,1.03亿,-5160.13万,1.54亿
3909,601908,京运通,3.74,-1.06%,2.58%,8129.92万,1.50亿,-6874.56万,2.31亿
3910,601012,隆基绿能,15.84,-1.06%,0.91%,4.58亿,6.33亿,-1.75亿,10.92亿
3911,600776,东方通信,11.23,-1.06%,1.18%,6105.30万,6571.38万,-466.08万,1.27亿
3912,300538,同益股份,17.75,-1.06%,7.97%,7219.12万,8788.76万,-1569.64万,1.60亿
3913,300251,光线传媒,19.59,-1.06%,2.52%,5.60亿,8.16亿,-2.55亿,13.76亿
3914,301557,常友科技,75.1,-1.07%,7.45%,2816.59万,3387.43万,-570.83万,6204.02万
3915,301456,盘古智能,26.81,-1.07%,4.53%,3339.07万,3999.99万,-660.91万,7339.06万
3916,688602,康鹏科技,9.28,-1.07%,3.36%,3497.99万,4580.35万,-1082.36万,8078.34万
3917,688395,正弦电气,25.86,-1.07%,1.41%,1359.76万,1795.80万,-436.04万,3155.56万
3918,600714,金瑞矿业,12.05,-1.07%,2.47%,3532.66万,5072.57万,-1539.91万,8605.22万
3919,603601,再升科技,4.64,-1.07%,3.25%,5938.54万,9486.61万,-3548.07万,1.54亿
3920,600682,南京新百,7.39,-1.07%,1.81%,5759.52万,9897.08万,-4137.55万,1.57亿
3921,600560,金自天正,17.62,-1.07%,1.52%,2526.20万,3474.03万,-947.83万,6000.24万
3922,600449,宁夏建材,13.91,-1.07%,1.51%,3983.30万,6087.30万,-2104.01万,1.01亿
3923,300597,吉大通信,10.17,-1.07%,2.58%,2852.43万,4262.52万,-1410.09万,7114.95万
3924,1896,豫能控股,5.57,-1.07%,1.60%,4883.91万,8756.83万,-3872.91万,1.36亿
3925,603685,晨丰科技,15.55,-1.08%,1.91%,1845.15万,2170.59万,-325.43万,4015.74万
3926,1207,联科科技,26.51,-1.08%,2.35%,5637.79万,6561.85万,-924.06万,1.22亿
3927,688046,药康生物,16.51,-1.08%,0.76%,2151.23万,2971.33万,-820.10万,5122.55万
3928,688308,欧科亿,21.07,-1.08%,1.50%,2217.30万,2777.06万,-559.76万,4994.36万
3929,605167,利柏特,10.95,-1.08%,0.97%,1617.67万,3178.89万,-1561.22万,4796.56万
3930,300070,碧水源,4.6,-1.08%,0.91%,4121.66万,1.03亿,-6156.61万,1.44亿
3931,688084,晶品特装,98.79,-1.08%,7.82%,1.13亿,1.62亿,-4913.60万,2.76亿
3932,300886,华业香料,29.43,-1.08%,4.48%,2381.33万,3391.82万,-1010.49万,5773.15万
3933,300557,理工光科,28.45,-1.08%,1.79%,2840.94万,3276.34万,-435.40万,6117.28万
3934,300210,森远股份,10.94,-1.08%,2.10%,4178.40万,6974.08万,-2795.68万,1.12亿
3935,839,国安股份,2.73,-1.09%,0.99%,3345.06万,7264.47万,-3919.41万,1.06亿
3936,300296,利亚德,6.37,-1.09%,3.02%,1.79亿,2.58亿,-7957.41万,4.37亿
3937,3043,华亚智能,45.2,-1.09%,2.53%,4292.08万,4854.47万,-562.39万,9146.55万
3938,3022,联泓新科,16.4,-1.09%,0.54%,4720.11万,7046.42万,-2326.30万,1.18亿
3939,300978,东箭科技,11.76,-1.09%,2.69%,2504.37万,3492.60万,-988.23万,5997.20万
3940,600746,江苏索普,8.19,-1.09%,0.56%,2467.04万,2914.51万,-447.47万,5381.55万
3941,600599,*ST熊猫,8.15,-1.09%,1.83%,1079.14万,1391.87万,-312.72万,2471.01万
3942,600052,东望时代,4.54,-1.09%,1.12%,1660.59万,2617.33万,-956.75万,4277.92万
3943,300610,晨化股份,12.65,-1.09%,3.57%,3327.55万,3967.63万,-640.08万,7295.19万
3944,300550,和仁科技,13.66,-1.09%,1.56%,2812.75万,2795.54万,17.21万,5608.29万
3945,300451,创业慧康,5.44,-1.09%,3.38%,1.12亿,1.68亿,-5614.52万,2.81亿
3946,300187,永清环保,5.44,-1.09%,1.16%,2338.60万,1713.74万,624.86万,4052.34万
3947,2952,亚世光电,20.95,-1.09%,1.45%,1744.30万,2273.86万,-529.56万,4018.16万
3948,2090,金智科技,10.01,-1.09%,3.34%,5736.45万,7515.53万,-1779.08万,1.33亿
3949,2085,万丰奥威,16.34,-1.09%,2.27%,2.92亿,4.96亿,-2.04亿,7.88亿
3950,652,泰达股份,4.52,-1.09%,1.52%,3937.77万,6161.77万,-2224.00万,1.01亿
3951,301317,鑫磊股份,35.94,-1.10%,8.04%,6483.70万,6485.38万,-1.68万,1.30亿
3952,603261,*ST立航,21.58,-1.10%,1.22%,881.71万,1156.11万,-274.40万,2037.81万
3953,301395,仁信新材,12.54,-1.10%,4.33%,3109.53万,4348.60万,-1239.07万,7458.12万
3954,301082,久盛电气,18.91,-1.10%,2.72%,3961.93万,6850.32万,-2888.39万,1.08亿
3955,603171,税友股份,48.67,-1.10%,0.75%,7894.64万,7068.22万,826.41万,1.50亿
3956,688141,杰华特,29.55,-1.10%,5.21%,1.69亿,2.35亿,-6628.56万,4.04亿
3957,300931,通用电梯,8.98,-1.10%,3.12%,2830.72万,2807.79万,22.94万,5638.51万
3958,600959,江苏有线,3.6,-1.10%,0.57%,4091.72万,6273.97万,-2182.24万,1.04亿
3959,300469,信息发展,43.09,-1.10%,2.59%,1.24亿,1.55亿,-3094.29万,2.79亿
3960,300073,当升科技,42.24,-1.10%,2.49%,2.29亿,3.03亿,-7388.66万,5.32亿
3961,3018,金富科技,12.51,-1.11%,1.16%,831.55万,1103.30万,-271.75万,1934.85万
3962,301159,三维天地,38.18,-1.11%,4.23%,3498.84万,5042.45万,-1543.61万,8541.29万
3963,603276,恒兴新材,17.85,-1.11%,3.15%,1926.34万,2447.74万,-521.41万,4374.08万
3964,301017,漱玉平民,13.33,-1.11%,1.65%,2395.54万,2976.17万,-580.63万,5371.71万
3965,300903,科翔股份,12.42,-1.11%,10.12%,1.76亿,2.37亿,-6108.62万,4.13亿
3966,600166,福田汽车,2.67,-1.11%,1.76%,1.13亿,1.92亿,-7882.30万,3.05亿
3967,300658,延江股份,7.15,-1.11%,3.72%,3234.87万,2777.97万,456.90万,6012.85万
3968,300521,爱司凯,25.9,-1.11%,2.96%,4626.65万,6882.27万,-2255.62万,1.15亿
3969,300413,芒果超媒,22.23,-1.11%,1.77%,1.51亿,2.52亿,-1.00亿,4.03亿
3970,300034,钢研高纳,17.8,-1.11%,2.51%,1.34亿,2.08亿,-7341.95万,3.42亿
3971,300022,吉峰科技,8.89,-1.11%,2.80%,5379.99万,6925.76万,-1545.77万,1.23亿
3972,2271,东方雨虹,12.5,-1.11%,2.10%,2.29亿,2.72亿,-4327.77万,5.01亿
3973,2161,远望谷,8.0,-1.11%,8.04%,1.97亿,2.64亿,-6733.33万,4.61亿
3974,733,振华科技,49.8,-1.11%,2.59%,2.66亿,4.48亿,-1.82亿,7.15亿
3975,688265,南模生物,49.29,-1.12%,3.36%,5584.89万,7570.21万,-1985.32万,1.32亿
3976,688670,金迪克,16.72,-1.12%,0.88%,746.05万,1071.46万,-325.41万,1817.51万
3977,688076,ST诺泰,46.09,-1.12%,1.96%,1.05亿,1.80亿,-7550.08万,2.85亿
3978,603869,ST智知,7.93,-1.12%,0.49%,871.91万,1076.50万,-204.59万,1948.41万
3979,603321,梅轮电梯,8.84,-1.12%,1.85%,2259.11万,2718.43万,-459.32万,4977.55万
3980,300647,超频三,7.06,-1.12%,4.13%,5693.06万,7640.26万,-1947.20万,1.33亿
3981,300461,田中精机,21.24,-1.12%,2.13%,2657.49万,2497.45万,160.03万,5154.94万
3982,300307,慈星股份,7.97,-1.12%,2.26%,4669.48万,9450.46万,-4780.98万,1.41亿
3983,300269,联建光电,5.31,-1.12%,5.62%,6039.80万,9696.26万,-3656.46万,1.57亿
3984,300080,易成新能,4.43,-1.12%,0.73%,2286.38万,3775.37万,-1488.99万,6061.74万
3985,2771,真视通,17.66,-1.12%,8.85%,1.29亿,1.48亿,-1932.87万,2.76亿
3986,2030,达安基因,7.05,-1.12%,3.07%,1.17亿,1.88亿,-7147.34万,3.05亿
3987,301,东方盛虹,8.82,-1.12%,0.18%,4074.27万,6245.95万,-2171.67万,1.04亿
3988,691,*ST亚太,7.0,-1.13%,5.41%,5220.74万,6976.74万,-1755.99万,1.22亿
3989,1313,粤海饲料,7.84,-1.13%,1.44%,3067.29万,4809.46万,-1742.17万,7876.75万
3990,1266,宏英智能,29.81,-1.13%,4.82%,2378.19万,2692.03万,-313.84万,5070.21万
3991,2263,大东南,3.51,-1.13%,4.20%,8761.33万,1.89亿,-1.01亿,2.76亿
3992,301515,港通医疗,23.71,-1.13%,9.54%,7029.49万,7663.19万,-633.70万,1.47亿
3993,688162,巨一科技,31.49,-1.13%,1.41%,2273.30万,3831.39万,-1558.09万,6104.68万
3994,301006,迈拓股份,17.5,-1.13%,4.37%,3180.69万,3444.92万,-264.23万,6625.61万
3995,301279,金道科技,24.57,-1.13%,6.66%,2420.39万,3638.58万,-1218.19万,6058.97万
3996,688119,中钢洛耐,4.37,-1.13%,1.07%,2392.39万,2906.77万,-514.39万,5299.15万
3997,300056,中创环保,14.86,-1.13%,4.00%,9699.10万,1.30亿,-3305.86万,2.27亿
3998,301225,恒勃股份,83.29,-1.13%,6.23%,7548.69万,8132.20万,-583.51万,1.57亿
3999,605066,天正电气,7.87,-1.13%,5.01%,8535.02万,1.13亿,-2796.20万,1.99亿
4000,603278,大业股份,10.5,-1.13%,2.76%,5058.71万,4894.56万,164.16万,9953.27万
4001,600375,汉马科技,6.99,-1.13%,3.45%,9673.87万,1.67亿,-7059.74万,2.64亿
4002,300730,科创信息,14.83,-1.13%,5.25%,6594.92万,8647.77万,-2052.86万,1.52亿
4003,2917,金奥博,14.94,-1.13%,3.80%,5758.26万,9036.39万,-3278.13万,1.48亿
4004,2151,北斗星通,30.52,-1.13%,3.78%,2.24亿,2.87亿,-6301.91万,5.10亿
4005,603409,汇通控股,36.34,-1.14%,6.63%,2980.78万,4473.79万,-1493.01万,7454.57万
4006,688005,容百科技,22.47,-1.14%,3.28%,1.64亿,1.78亿,-1343.31万,3.42亿
4007,603595,东尼电子,19.15,-1.14%,1.60%,2998.08万,4140.42万,-1142.34万,7138.50万
4008,601615,明阳智能,11.29,-1.14%,1.01%,9421.40万,1.63亿,-6896.04万,2.57亿
4009,601388,怡球资源,2.61,-1.14%,1.15%,2173.10万,4464.14万,-2291.04万,6637.23万
4010,300693,盛弘股份,34.66,-1.14%,5.27%,2.12亿,2.76亿,-6344.95万,4.88亿
4011,300503,昊志机电,24.3,-1.14%,4.04%,1.06亿,1.28亿,-2134.55万,2.34亿
4012,2932,明德生物,21.67,-1.14%,2.14%,2813.74万,4445.23万,-1631.48万,7258.96万
4013,2783,凯龙股份,10.4,-1.14%,4.18%,7391.74万,1.17亿,-4331.60万,1.91亿
4014,2558,巨人网络,28.5,-1.14%,2.50%,6.72亿,7.16亿,-4337.08万,13.88亿
4015,2105,信隆健康,7.83,-1.14%,4.12%,5050.38万,6757.96万,-1707.58万,1.18亿
4016,301135,瑞德智能,30.06,-1.15%,6.06%,5037.89万,5091.50万,-53.61万,1.01亿
4017,2206,海利得,6.0,-1.15%,3.08%,6241.10万,1.07亿,-4494.27万,1.70亿
4018,300982,苏文电能,19.78,-1.15%,1.88%,2898.82万,4327.62万,-1428.79万,7226.44万
4019,688692,达梦数据,234.53,-1.15%,1.98%,1.80亿,1.58亿,2205.72万,3.39亿
4020,688456,有研粉材,44.57,-1.15%,2.12%,4417.52万,5319.75万,-902.23万,9737.26万
4021,601218,吉鑫科技,4.29,-1.15%,3.39%,4750.97万,9353.83万,-4602.86万,1.41亿
4022,600080,金花股份,7.77,-1.15%,1.70%,2552.11万,2376.05万,176.07万,4928.16万
4023,300317,珈伟新能,4.29,-1.15%,3.27%,5436.48万,6179.71万,-743.24万,1.16亿
4024,300148,天舟文化,5.14,-1.15%,4.63%,7410.86万,1.17亿,-4301.34万,1.91亿
4025,2203,海亮股份,12.0,-1.15%,1.30%,1.37亿,1.72亿,-3472.91万,3.09亿
4026,155,川能动力,10.35,-1.15%,1.30%,9898.33万,1.47亿,-4799.40万,2.48亿
4027,300277,海联讯,12.82,-1.16%,1.51%,2467.55万,4131.35万,-1663.80万,6598.88万
4028,688131,皓元医药,52.86,-1.16%,2.52%,1.28亿,1.54亿,-2584.70万,2.83亿
4029,688711,宏微科技,28.9,-1.16%,5.38%,1.38亿,1.93亿,-5493.84万,3.31亿
4030,601608,中信重工,5.12,-1.16%,2.27%,2.21亿,3.10亿,-8949.85万,5.31亿
4031,600594,益佰制药,4.26,-1.16%,2.62%,3636.71万,5244.40万,-1607.70万,8881.12万
4032,300222,科大智能,11.05,-1.16%,3.51%,1.09亿,1.37亿,-2779.86万,2.46亿
4033,2276,万马股份,15.37,-1.16%,6.37%,4.41亿,5.51亿,-1.10亿,9.92亿
4034,2184,海得控制,13.58,-1.16%,4.20%,5832.72万,7900.00万,-2067.28万,1.37亿
4035,301313,凡拓数创,26.97,-1.17%,6.67%,4736.47万,7263.21万,-2526.74万,1.20亿
4036,2715,登云股份,17.67,-1.17%,2.05%,2193.47万,2803.57万,-610.10万,4997.04万
4037,603257,中国瑞林,52.46,-1.17%,8.26%,3616.50万,6977.95万,-3361.45万,1.06亿
4038,301166,优宁维,33.85,-1.17%,3.24%,2496.30万,3720.95万,-1224.64万,6217.24万
4039,601868,中国能建,2.54,-1.17%,0.92%,1.75亿,5.88亿,-4.13亿,7.63亿
4040,603282,亚光股份,18.66,-1.17%,3.48%,1913.05万,2269.77万,-356.72万,4182.82万
4041,688536,思瑞浦,142.41,-1.17%,2.69%,2.14亿,2.92亿,-7839.41万,5.05亿
4042,603105,芯能科技,8.46,-1.17%,2.15%,3370.31万,5729.31万,-2359.00万,9099.62万
4043,600995,南网储能,10.1,-1.17%,1.05%,4139.45万,7692.84万,-3553.39万,1.18亿
4044,600640,国脉文化,12.68,-1.17%,0.58%,2430.30万,3403.82万,-973.52万,5834.12万
4045,600405,动力源,6.74,-1.17%,6.33%,1.17亿,1.45亿,-2868.43万,2.62亿
4046,600281,华阳新材,6.77,-1.17%,3.23%,3829.86万,7434.68万,-3604.83万,1.13亿
4047,300534,陇神戎发,11.01,-1.17%,5.98%,8322.90万,1.16亿,-3324.03万,2.00亿
4048,790,华神科技,4.23,-1.17%,2.57%,2989.24万,3775.07万,-785.83万,6764.31万
4049,409,云鼎科技,12.69,-1.17%,5.84%,1.16亿,1.94亿,-7789.16万,3.14亿
4050,2200,*ST交投,7.52,-1.18%,2.25%,1154.50万,1963.41万,-808.91万,3117.92万
4051,688489,三未信安,40.22,-1.18%,2.36%,1922.71万,2857.64万,-934.93万,4780.36万
4052,3008,开普检测,23.4,-1.18%,2.74%,2259.32万,2751.82万,-492.50万,5011.14万
4053,300350,华鹏飞,6.72,-1.18%,6.30%,8115.37万,1.18亿,-3719.62万,2.00亿
4054,300851,交大思诺,29.4,-1.18%,2.66%,1821.97万,2409.47万,-587.51万,4231.44万
4055,600598,北大荒,15.01,-1.18%,1.71%,1.78亿,2.80亿,-1.02亿,4.58亿
4056,600006,东风股份,7.55,-1.18%,2.49%,1.56亿,2.19亿,-6241.73万,3.75亿
4057,300513,恒实科技,9.25,-1.18%,3.29%,3840.49万,4736.95万,-896.46万,8577.45万
4058,2133,广宇集团,3.34,-1.18%,2.33%,2871.81万,3150.19万,-278.38万,6023.61万
4059,908,ST景峰,5.87,-1.18%,1.38%,1716.58万,5430.51万,-3713.93万,7147.09万
4060,401,冀东水泥,5.01,-1.18%,0.51%,3029.39万,3665.15万,-635.76万,6760.61万
4061,603191,望变电气,14.95,-1.19%,2.46%,4983.93万,7228.32万,-2244.39万,1.22亿
4062,688700,东威科技,47.5,-1.19%,3.37%,2.12亿,2.62亿,-5069.41万,4.74亿
4063,300812,易天股份,24.15,-1.19%,5.08%,4959.76万,6397.90万,-1438.13万,1.14亿
4064,688396,华润微,46.52,-1.19%,0.67%,1.49亿,2.66亿,-1.17亿,4.14亿
4065,300883,龙利得,6.65,-1.19%,2.61%,2194.74万,3562.21万,-1367.47万,5756.96万
4066,603819,神力股份,12.43,-1.19%,2.15%,2250.85万,3591.86万,-1341.00万,5842.71万
4067,603806,福斯特,14.08,-1.19%,1.00%,1.82亿,1.85亿,-281.36万,3.67亿
4068,603527,众源新材,11.65,-1.19%,5.38%,9555.10万,1.05亿,-912.53万,2.00亿
4069,300639,凯普生物,6.62,-1.19%,1.72%,2997.65万,4257.56万,-1259.90万,7255.20万
4070,300605,恒锋信息,16.66,-1.19%,7.14%,6140.16万,8121.74万,-1981.58万,1.43亿
4071,2599,盛通股份,9.12,-1.19%,6.98%,9822.98万,1.55亿,-5655.40万,2.53亿
4072,959,首钢股份,4.16,-1.19%,0.39%,3704.24万,6943.48万,-3239.24万,1.06亿
4073,1239,永达股份,17.27,-1.20%,5.35%,4180.28万,6387.29万,-2207.01万,1.06亿
4074,301285,鸿日达,50.98,-1.20%,11.60%,2.05亿,2.57亿,-5179.12万,4.62亿
4075,301209,联合化学,93.12,-1.20%,2.93%,4107.11万,5223.33万,-1116.22万,9330.45万
4076,301235,华康洁净,32.82,-1.20%,9.47%,1.00亿,1.27亿,-2649.28万,2.27亿
4077,300996,普联软件,18.08,-1.20%,4.53%,8296.79万,1.11亿,-2831.26万,1.94亿
4078,798,中水渔业,8.25,-1.20%,2.21%,3179.80万,3523.88万,-344.08万,6703.68万
4079,605058,澳弘电子,29.52,-1.20%,1.86%,3437.31万,4413.26万,-975.95万,7850.58万
4080,603333,尚纬股份,8.26,-1.20%,2.00%,3722.08万,6554.53万,-2832.45万,1.03亿
4081,603168,莎普爱思,8.22,-1.20%,2.12%,2565.73万,3077.65万,-511.92万,5643.37万
4082,600143,金发科技,14.79,-1.20%,11.60%,20.01亿,24.83亿,-4.83亿,44.84亿
4083,300707,威唐工业,14.85,-1.20%,2.21%,2236.57万,2482.59万,-246.01万,4719.16万
4084,300585,奥联电子,15.66,-1.20%,2.57%,2665.96万,4214.64万,-1548.69万,6880.61万
4085,300057,万顺新材,5.74,-1.20%,2.34%,3720.24万,5967.14万,-2246.90万,9687.38万
4086,932,华菱钢铁,5.78,-1.20%,1.00%,1.92亿,2.08亿,-1624.12万,3.99亿
4087,736,*ST中地,4.93,-1.20%,1.30%,1792.44万,2862.20万,-1069.77万,4654.63万
4088,301211,亨迪药业,18.78,-1.21%,1.67%,3663.17万,5392.78万,-1729.61万,9055.95万
4089,688636,智明达,38.45,-1.21%,3.60%,9774.11万,1.36亿,-3833.60万,2.34亿
4090,688096,京源环保,9.83,-1.21%,1.61%,1542.52万,2194.91万,-652.39万,3737.43万
4091,688055,龙腾光电,4.08,-1.21%,0.23%,1211.73万,1889.57万,-677.83万,3101.30万
4092,603330,天洋新材,7.35,-1.21%,2.40%,3274.69万,3904.05万,-629.36万,7178.74万
4093,603903,中持股份,8.17,-1.21%,2.51%,2265.15万,2994.01万,-728.86万,5259.17万
4094,601778,晶科科技,3.26,-1.21%,1.55%,8262.32万,9759.92万,-1497.60万,1.80亿
4095,300616,尚品宅配,13.91,-1.21%,1.57%,1675.54万,1737.56万,-62.02万,3413.10万
4096,2933,新兴装备,37.7,-1.21%,4.84%,9401.55万,1.15亿,-2068.66万,2.09亿
4097,301042,安联锐视,40.11,-1.21%,2.94%,3662.26万,4174.36万,-512.10万,7836.62万
4098,1268,联合精密,33.91,-1.22%,5.57%,5446.81万,6448.29万,-1001.48万,1.19亿
4099,688375,国博电子,65.7,-1.22%,0.32%,4951.74万,7471.43万,-2519.69万,1.24亿
4100,688698,伟创电气,54.3,-1.22%,1.50%,8141.30万,9191.11万,-1049.81万,1.73亿
4101,688355,明志科技,20.29,-1.22%,1.58%,1804.19万,2169.16万,-364.96万,3973.35万
4102,300808,久量股份,35.51,-1.22%,3.32%,5204.44万,7131.04万,-1926.60万,1.23亿
4103,695,滨海能源,12.14,-1.22%,4.26%,4670.39万,6814.91万,-2144.52万,1.15亿
4104,300525,博思软件,15.44,-1.22%,2.55%,8736.51万,1.57亿,-7005.18万,2.45亿
4105,2923,润都股份,15.34,-1.22%,10.18%,1.64亿,2.39亿,-7493.64万,4.03亿
4106,2445,中南文化,2.43,-1.22%,1.62%,3121.07万,6233.28万,-3112.21万,9354.34万
4107,2442,龙星科技,6.49,-1.22%,1.43%,1938.95万,2592.82万,-653.87万,4531.76万
4108,2309,中利集团,3.23,-1.22%,1.53%,2097.64万,3925.40万,-1827.76万,6023.03万
4109,881,中广核技,8.07,-1.22%,1.46%,3227.69万,6623.57万,-3395.88万,9851.26万
4110,603567,珍宝岛,12.81,-1.23%,1.41%,5960.17万,1.09亿,-4979.14万,1.69亿
4111,603126,中材节能,7.25,-1.23%,10.86%,2.07亿,2.72亿,-6475.59万,4.80亿
4112,600588,用友网络,15.22,-1.23%,1.69%,3.65亿,5.15亿,-1.50亿,8.79亿
4113,300378,鼎捷数智,55.39,-1.23%,10.94%,8.03亿,8.22亿,-1956.40万,16.25亿
4114,300369,绿盟科技,8.01,-1.23%,1.66%,4238.41万,6417.67万,-2179.26万,1.07亿
4115,2812,恩捷股份,31.33,-1.23%,2.10%,2.31亿,2.98亿,-6668.10万,5.29亿
4116,2114,罗平锌电,7.24,-1.23%,2.96%,3073.74万,3859.57万,-785.83万,6933.31万
4117,709,河钢股份,2.4,-1.23%,0.60%,5016.16万,9946.57万,-4930.41万,1.50亿
4118,301282,金禄电子,27.16,-1.24%,9.58%,8840.64万,9927.44万,-1086.79万,1.88亿
4119,300955,嘉亨家化,20.63,-1.24%,4.67%,2333.11万,3350.94万,-1017.83万,5684.04万
4120,600418,江淮汽车,47.0,-1.24%,1.88%,8.33亿,11.07亿,-2.74亿,19.40亿
4121,300583,赛托生物,18.37,-1.24%,2.12%,2595.47万,4625.10万,-2029.63万,7220.58万
